Abstract The eighteenth/nineteenth century ‘craters of elevation’ theory required magma to uplift strata, doming the surface and creating a central down-fallen ‘crater’ or graben. Exponents of craters of elevation attempted to apply it to explain the origin of all volcanoes, and rapidly the contemporary competing ‘craters of eruption’ theory replaced it as the paradigm for volcano construction. Several historic examples have shown that intrusions can cause uplift, termed bulges and can create features like those proposed for craters of elevation (e.g. at Usu 1944, Bezymianny 1955 and Mt. St. Helens 1980). Work on sedimentary basins that have had igneous activity has shown that intrusions create ‘forced folds’ that uplift and deform strata in a similar way to that originally proposed for craters of elevation. In view of the above, we investigate large-scale intrusion-related topographic changes at two sites where the craters of elevation theory was developed: the monogenetic volcanoes of the Chaîne des Puys, France and the Teide stratovolcano, Tenerife. We combine observations of such features with examples of forced folding to integrate the two fields of research. Our observations in the Chaîne des Puys show that: (1) the Petit Puy de Dôme has a bulge of up to 150-m uplift. The uplift has a central depressed area (a graben), a dense network of normal faults, basal thrusts and an aborted landslide. (2) The Grosmanaux volcano is a forced fold created by uplift of a previously flat-lying area, and has dense faulting and a graben on the resultant topographic bulge. It was the site also of a major vulcanian eruption from the associated Kilian crater. (3) The Gouttes volcano was uplifted by an intrusion like the Petit Puy de Dôme, but then collapsed to generate a landslide and lateral blast. (4) Excavation in the Lemptégy Volcano exposes intra-eruption intrusions with associated uplift, providing examples in cross-section of the internal deformation likely to be found inside other Chaîne des Puys uplifted bulges. On Teide, a bulge near the summit shows similar structures and surface tilting as seen on the Petit Puy de Dôme and this bulging may have formed during the eruption of the Lavas Negras, the most recent activity on the summit area. Fault scarps on Teide also expose small cryptodomes, like those seen at Lemptégy. These examples, coupled with field studies on eroded intrusions, data on forced folds in basins and analogue models, show how large-scale topographic remodelling and structural change can be created by intrusions. These can rapidly and significantly change the volcanic edifice. A crater of elevation bulge, or forced fold that is stabilised by the cooling of the intrusion, will remain an important structural element in a volcano. This process starts even at the small scale of monogenetic volcanoes, and could occur through the lifetime of any growing stratovolcano. Such activity may be commonplace, but may be masked by concomitant eruption or removed by subsequent collapse. Monitoring and hazard strategies should be ready to deal with such large-scale events that will seriously modify the eruptive activity and stability of a volcano within days or weeks.
network             0.9927540605181135^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_network      

Chaîne des Puys               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chaîne_des_Puys       

France                        0.9999999919350557^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/France                

bulge                         0.9999979654287706^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Equatorial_bulge      

volcano                       0.9999999953718088^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

graben                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Graben                

elevation                     0.9999998358282617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sea_level             

Puy de Dôme                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Puy_de_Dôme           

uplifted                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tectonic_uplift       

stratovolcano                 0.9960044415220879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

basal                         0.7078462833735848^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_membrane         

volcanoes                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Volcano               

deformation                   0.9999998352093507^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(engineering)

landslide                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Landslide             

elevation                     0.9999998358282617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sea_level             

eruption                      0.9999999999924967^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

strata                        0.9999999910453425^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stratum               

craters                       0.9999999998576641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcanic_crater       

Puy de Dôme                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Puy_de_Dôme           

topographic                   0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Topography            

vulcanian eruption            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vulcanian_eruption    

uplift                        0.9999999766985186^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tectonic_uplift       

graben                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Graben                

