Abstract  Seedlings of Eucalyptus tereticornis (Smith) were grown under two levels of availability each of CO2 (352 and 793 µmol mol−1), soil nutrients (1/24 and 1/4 Hoagland’s solution) and light (full and 30�unlight). Low soil nutrient availability or high light increased the C:N ratio of leaves, leading to lower leaf nitrogen concentrations, higher leaf specific weights and higher levels of both total phenolics and condensed tannins. These results were consistent with other studies of the effect of environmental resource availability on foliage composition. Similar results were observed when the C:N ratio of leaves was increased under elevated CO2. The changes in leaf chemistry induced by the treatments affected the performance of 4th-instar larvae of Chrysophtharta flaveola (Chapuis) fed on the leaves. Increased C:N ratios of leaves reduced digestive efficiencies and pupal body sizes and increased mortality. Below a threshold nitrogen concentration of approximately 1�ry mass, severe reductions in the performance of larvae were recorded. Such changes may have significant consequences for herbivores of Eucalyptus, particularly in view of projected increases in atmospheric CO2.
herbivores          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Herbivore             

CO2                           0.9999999999358806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

nitrogen                      0.99999953403505^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Nitrogen              

condensed tannins             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Condensed_tannin      

nutrients                     0.9999999965677944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nutrient              

Eucalyptus tereticornis       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eucalyptus_tereticornis

mortality                     0.9908652177236852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

nitrogen                      0.99999953403505^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Nitrogen              

phenolics                     0.9980430591537812^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phenols               

CO2                           0.9999999999358806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

Eucalyptus                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Eucalyptus            

C:N ratio                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon-to-nitrogen_ratio

larvae                        0.9991530479491518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

chemistry                     0.9761840315073245^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemistry             

CO2                           0.9999999999358806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

µmol                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_(unit)           

larvae                        0.9991530479491518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

pupal                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pupa                  

/4                            0.99999999997749^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/4                     

C:N ratio                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon-to-nitrogen_ratio

