Abstract   Current thermal comfort standards and the models underpinning them purport to be equally applicable across all types of building, ventilation, occupancy pattern and climate zone. A recent research project sponsored by the American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE, RP-884) critically evaluated these assumptions by statistically analysing a large database of research results in building comfort studies from all over the world (n=22,346). The results reported in this paper indicated a clear dependence of indoor comfort temperatures on outdoor air temperatures (instead of outdoor effective temperature ET* used in RP-884), especially in buildings that were free-running or naturally ventilated. These findings encourage significant revisions of ASHRAE’s comfort standard in terms of climatically relevant prescriptions. The paper highlights the potential for reduced cooling energy requirements by designing for natural or hybrid ventilation in many moderate climate zones of the world.
hybrid              0.9504573178897963^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hybrid_vehicle        

thermal comfort               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thermal_comfort       

effective temperature         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Effective_temperature 

American                      0.9948738386633533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

ASHRAE                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/American_Society_of_Heating,_Refrigerating_and_Air-Conditioning_Engineers

climate zones                 0.9997409209694785^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

ASHRAE                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/American_Society_of_Heating,_Refrigerating_and_Air-Conditioning_Engineers

naturally ventilated          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Natural_ventilation   

RP                            0.9988921701284645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Received_Pronunciation

energy                        0.999999580312621^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Energy                

RP                            0.9988921701284645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Received_Pronunciation

